-2043.720,1330.160
-2326.892,1330.464
-2610.206,1330.613
-2893.580,1330.632
-3177.153,1330.798
-3460.169,1331.070
-3460.126,1614.962
-3177.011,1614.755
-2893.477,1614.629
-2610.160,1614.494
-2326.758,1614.347
-2043.685,1613.941
-1760.028,1897.613
-2043.576,1897.521
-2326.716,1897.871
-2610.058,1898.025
-2893.469,1898.050
-3177.135,1898.142
-3460.262,1898.443
-3460.398,2181.694
-3177.121,2181.449
-2893.615,2181.240
-2610.190,2181.264
-2326.923,2181.126
-2043.873,2180.820
-1760.157,2180.720
-1476.694,2180.654
-1193.859,2464.842
-1476.656,2464.750
-1760.051,2464.805
-2043.664,2464.829
-2326.871,2465.138
-2610.281,2465.303
-2893.544,2465.256
-3177.159,2465.357
-3177.103,2749.540
-2893.591,2749.388
-2610.302,2749.347
-2326.830,2749.243
-2043.701,2748.857
-1760.124,2748.784
-1476.592,2748.626
-1193.645,2748.479
-1193.623,3032.445
-1476.696,3032.566
-1759.984,3032.683
-2043.588,3032.734
-2326.707,3033.066
-2610.131,3033.145
-2893.450,3033.162
-2610.186,3316.431
-2326.713,3316.257
-2043.682,3315.991
-1759.942,3315.874
-1476.739,3315.505
-1193.529,3315.410
-1193.622,3599.132
-1476.584,3599.405
-1759.660,3599.818
-2043.555,3599.505
-2326.642,3599.935
-1193.567,3883.245
